tournament_id,name,date,n_rounds,n_players,country,fide_rated,system,time_control,avg_rating,pct_rated,url
1077172,Budapest Winter Classic Rapiddecember 29.,29.12.2024,7,31,HUN,True,Swiss,Rapid,1874.2,1.0,https://s1.chess-results.com/tnr1077172.aspx?lan=1
1087732,Copa dos Campeões de Alagoas 2024,29.12.2024,7,38,BRA,True,Swiss,,1980.8,1.0,https://s1.chess-results.com/tnr1087732.aspx?lan=1
1070267,Novogodisnji rapid SK Stari grad 2024,29.12.2024,9,31,SRB,True,Swiss,Rapid,1892.9,0.903,https://s1.chess-results.com/tnr1070267.aspx?lan=1
1012300,"Rapid turnir ""Dan Sandžaka 2024"",  nedelja, 29. de",29.12.2024,9,86,SRB,True,Swiss,Rapid,2036.1,0.97,https://s1.chess-results.com/tnr1012300.aspx?lan=1
1089908,Up and Down Chess Tournament,29.12.2024,9,93,KAZ,True,Swiss,,1816.3,0.828,https://s1.chess-results.com/tnr1089908.aspx?lan=1
1072504,Відкритий чемпіонат Закарпатської області з швидки,29.12.2024,9,41,UKR,True,Swiss,,1813.0,0.927,https://s1.chess-results.com/tnr1072504.aspx?lan=1
1070842,#XADREZNOBURGUES XLIII - Torneio Aberto Xadrez LB,28.12.2024,7,35,BRA,True,Swiss,,1891.5,1.0,https://s1.chess-results.com/tnr1070842.aspx?lan=1
1088341,"28.12. Ústí n.L., rapid do FIDEela, 100 let klubu",28.12.2024,7,30,CZE,True,Swiss,Rapid,1855.5,0.9,https://s1.chess-results.com/tnr1088341.aspx?lan=1
1085560,29. Seniorsko Prvenstvo ŠSZDK za 2024. godinu,28.12.2024,9,36,BIH,True,Swiss,,1943.9,0.972,https://s1.chess-results.com/tnr1085560.aspx?lan=1
1082511,Guia es Deporte 2024 - Circuito de Canarias Activo,28.12.2024,9,63,ESP,True,Swiss,,1850.2,0.875,https://s1.chess-results.com/tnr1082511.aspx?lan=1
1086367,SUBOTICA  SahArt  RAPID  finale za 2024,28.12.2024,7,33,SRB,True,Swiss,Rapid,1833.5,1.0,https://s1.chess-results.com/tnr1086367.aspx?lan=1
1090985,VI IRT Torneo Navideño de Ajedrez FUNCAEXP 2024 AT,28.12.2024,7,66,COL,True,Swiss,,1825.8,0.882,https://s1.chess-results.com/tnr1090985.aspx?lan=1
1070759,VI Open Internacional Ciutat de Vilanova,28.12.2024,8,66,ESP,True,Swiss,,1870.2,1.0,https://s1.chess-results.com/tnr1070759.aspx?lan=1
1086869,"ФИНАЛ - Alliance-MTS Rapid (28-29 декабря, призово",28.12.2024,9,72,KAZ,True,Swiss,Rapid,1858.0,0.972,https://s1.chess-results.com/tnr1086869.aspx?lan=1
1090223,WCF Ljubljana Rapid Challenge 2024,27.12.2024,7,36,SLO,True,Swiss,Rapid,2039.9,0.972,https://s1.chess-results.com/tnr1090223.aspx?lan=1
1074691,FIDE Women’s World Rapid Championships 2024,26.12.2024,11,110,IM,True,Swiss,Rapid,2251.1,1.0,https://s1.chess-results.com/tnr1074691.aspx?lan=1
